jobid,jobtitle,company,location,url,updatedatetime
4361450691,Customer Support Engineer,KLA,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4361450691,2026-04-25 16:37:07
4400392804,AI Tech Lead (AIGC Short Drama Platform),DramaBox,"Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4400392804,2026-04-25 16:35:16
4330221953,Systems Design Quality Engineer-Medical,Philips,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4330221953,2026-04-25 16:37:08
4369088436,Field Customer Support Engineer,F5,"Shanghai, Shanghai, China (Hybrid)",https://www.linkedin.com/jobs/view/4369088436,2026-04-25 16:37:08
4400382340,Senior Consultant / Manager (SLT) (FI/CO),cbs Corporate Business Solutions,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4400382340,2026-04-25 16:37:08
4378597911,Medical Project Manager - Dermatology OTC & Medical Devices,皮尔法伯（上海）化妆品贸易有限公司,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4378597911,2026-04-25 16:37:08
4344742446,Java开发主管/Tech Lead,友邦科技,"Guangzhou, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4344742446,2026-04-25 16:37:08
4401236752,Sr. NPI Engineer 高级NPI工程师,Quasar Medical | Medical Device Manufacturer,"Dongguan, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4401236752,2026-04-25 16:37:09
4403272906,AI Data Tech Lead,Momenta,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4403272906,2026-04-25 16:37:09
4403267953,Data Infra Tech Lead(A184818),Momenta,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4403267953,2026-04-25 16:37:09
4361838470,Customer Support Engineer,KLA,"Qinhuangdao, Hebei, China (On-site)",https://www.linkedin.com/jobs/view/4361838470,2026-04-25 16:37:39
4403289712,Customer Support Engineer,科天国际贸易(上海)有限公司,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4403289712,2026-04-25 16:37:39
4398024291,lead system designer,GE HealthCare,"Wuxi, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4398024291,2026-04-25 16:38:11
4398020436,AME Program Leader,GE HealthCare,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4398020436,2026-04-25 16:38:11
4376249981,Business Systems Analyst,Koch,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4376249981,2026-04-25 17:50:25
4405819001,Medical - Medical Science Liaison Manager - Shanghai,Sanofi,"Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4405819001,2026-04-25 17:50:42
